name,type,value,date
陕西,,28,2006/1/01
上海,,3,2006/1/01
四川,,41,2006/1/01
天津,,0,2006/1/01
西藏,,3,2006/1/01
新疆,,7,2006/1/01
云南,,34,2006/1/01
安徽,,16,2006/11/01
北京,,2,2006/11/01
重庆,,6,2006/11/01
福建,,9,2006/11/01
甘肃,,15,2006/11/01
广东,,5,2006/11/01
广西,,18,2006/11/01
贵州,,29,2006/11/01
海南,,3,2006/11/01
河北,,11,2006/11/01
河南,,5,2006/11/01
黑龙江,,10,2006/11/01
湖北,,7,2006/11/01
湖南,,14,2006/11/01
吉林,,4,2006/11/01
江苏,,5,2006/11/01
江西,,5,2006/11/01
辽宁,,15,2006/11/01
内蒙,,6,2006/11/01
宁夏,,1,2006/11/01
青海,,0,2006/11/01
山东,,6,2006/11/01
山西,,12,2006/11/01
陕西,,7,2006/11/01
上海,,2,2006/11/01
四川,,27,2006/11/01
天津,,0,2006/11/01
西藏,,2,2006/11/01
新疆,,1,2006/11/01
云南,,16,2006/11/01
安徽,,12,2006/3/01
北京,,5,2006/3/01
重庆,,9,2006/3/01
福建,,10,2006/3/01
甘肃,,9,2006/3/01
广东,,19,2006/3/01
广西,,11,2006/3/01
贵州,,18,2006/3/01
海南,,5,2006/3/01
河北,,11,2006/3/01
河南,,4,2006/3/01
黑龙江,,3,2006/3/01
湖北,,9,2006/3/01
湖南,,7,2006/3/01
吉林,,4,2006/3/01
江苏,,4,2006/3/01
江西,,4,2006/3/01
辽宁,,2,2006/3/01
内蒙,,5,2006/3/01
宁夏,,0,2006/3/01
青海,,2,2006/3/01
山东,,12,2006/3/01
山西,,10,2006/3/01
陕西,,15,2006/3/01
上海,,3,2006/3/01
四川,,17,2006/3/01
天津,,0,2006/3/01
西藏,,6,2006/3/01
新疆,,11,2006/3/01
云南,,16,2006/3/01
安徽,,17,2006/5/01
北京,,6,2006/5/01
重庆,,12,2006/5/01
福建,,12,2006/5/01
甘肃,,13,2006/5/01
广东,,22,2006/5/01
广西,,4,2006/5/01
贵州,,22,2006/5/01
海南,,2,2006/5/01
河北,,13,2006/5/01
河南,,6,2006/5/01
黑龙江,,4,2006/5/01
湖北,,13,2006/5/01
湖南,,9,2006/5/01
吉林,,2,2006/5/01
江苏,,4,2006/5/01
江西,,4,2006/5/01
辽宁,,10,2006/5/01
内蒙,,3,2006/5/01
宁夏,,4,2006/5/01
青海,,1,2006/5/01
山东,,7,2006/5/01
山西,,10,2006/5/01
陕西,,17,2006/5/01
上海,,1,2006/5/01
四川,,23,2006/5/01
天津,,0,2006/5/01
西藏,,1,2006/5/01
新疆,,7,2006/5/01
云南,,16,2006/5/01
安徽,,14,2006/7/01
北京,,2,2006/7/01
重庆,,9,2006/7/01
福建,,20,2006/7/01
甘肃,,12,2006/7/01
广东,,19,2006/7/01
广西,,13,2006/7/01
贵州,,28,2006/7/01
海南,,0,2006/7/01
河北,,10,2006/7/01
河南,,6,2006/7/01
黑龙江,,6,2006/7/01
湖北,,7,2006/7/01
湖南,,13,2006/7/01
吉林,,1,2006/7/01
江苏,,7,2006/7/01
江西,,3,2006/7/01
辽宁,,9,2006/7/01
内蒙,,6,2006/7/01
宁夏,,3,2006/7/01
青海,,0,2006/7/01
山东,,10,2006/7/01
山西,,13,2006/7/01
陕西,,15,2006/7/01
上海,,4,2006/7/01
四川,,19,2006/7/01
天津,,1,2006/7/01
西藏,,2,2006/7/01
新疆,,2,2006/7/01
云南,,20,2006/7/01
安徽,,16,2006/9/01
北京,,6,2006/9/01
重庆,,15,2006/9/01
福建,,13,2006/9/01
甘肃,,8,2006/9/01
广东,,17,2006/9/01
广西,,10,2006/9/01
贵州,,22,2006/9/01
海南,,1,2006/9/01
河北,,8,2006/9/01
河南,,6,2006/9/01
黑龙江,,9,2006/9/01
湖北,,15,2006/9/01
湖南,,18,2006/9/01
吉林,,4,2006/9/01
江苏,,5,2006/9/01
江西,,0,2006/9/01
辽宁,,9,2006/9/01
内蒙,,5,2006/9/01
宁夏,,0,2006/9/01
青海,,1,2006/9/01
山东,,7,2006/9/01
山西,,4,2006/9/01
陕西,,23,2006/9/01
上海,,4,2006/9/01
四川,,22,2006/9/01
天津,,0,2006/9/01
西藏,,1,2006/9/01
新疆,,6,2006/9/01
云南,,9,2006/9/01
安徽,,13,2007/1/01
北京,,7,2007/1/01
重庆,,14,2007/1/01
福建,,15,2007/1/01
甘肃,,10,2007/1/01
广东,,26,2007/1/01
广西,,20,2007/1/01
贵州,,28,2007/1/01
海南,,2,2007/1/01
河北,,9,2007/1/01
河南,,7,2007/1/01
黑龙江,,9,2007/1/01
湖北,,15,2007/1/01
湖南,,19,2007/1/01
吉林,,0,2007/1/01
江苏,,20,2007/1/01
江西,,5,2007/1/01
辽宁,,5,2007/1/01
内蒙古,,5,2007/1/01
宁夏,,0,2007/1/01
青海,,1,2007/1/01
山东,,6,2007/1/01
山西,,5,2007/1/01
陕西,,19,2007/1/01
上海,,8,2007/1/01
四川,,32,2007/1/01
天津,,0,2007/1/01
西藏,,0,2007/1/01
新疆,,2,2007/1/01
云南,,18,2007/1/01
安徽,,23,2007/11/01
北京,,1,2007/11/01
重庆,,6,2007/11/01
福建,,14,2007/11/01
甘肃,,10,2007/11/01
广东,,18,2007/11/01
广西,,18,2007/11/01
贵州,,15,2007/11/01
海南,,3,2007/11/01
河北,,13,2007/11/01
河南,,5,2007/11/01
黑龙江,,10,2007/11/01
湖北,,17,2007/11/01
湖南,,8,2007/11/01
吉林,,4,2007/11/01
江苏,,11,2007/11/01
江西,,5,2007/11/01
辽宁,,5,2007/11/01
内蒙古,,4,2007/11/01
宁夏,,4,2007/11/01
青海,,1,2007/11/01
山东,,9,2007/11/01
山西,,14,2007/11/01
陕西,,18,2007/11/01
上海,,2,2007/11/01
四川,,21,2007/11/01
天津,,1,2007/11/01
西藏,,0,2007/11/01
新疆,,6,2007/11/01
云南,,20,2007/11/01
安徽,,19,2007/3/01
北京,,5,2007/3/01
重庆,,20,2007/3/01
福建,,17,2007/3/01
甘肃,,13,2007/3/01
广东,,24,2007/3/01
广西,,23,2007/3/01
贵州,,34,2007/3/01
海南,,5,2007/3/01
河北,,13,2007/3/01
河南,,11,2007/3/01
黑龙江,,11,2007/3/01
湖北,,14,2007/3/01
湖南,,19,2007/3/01
吉林,,1,2007/3/01
江苏,,22,2007/3/01
江西,,3,2007/3/01
辽宁,,12,2007/3/01
内蒙古,,5,2007/3/01
宁夏,,6,2007/3/01
青海,,3,2007/3/01
山东,,10,2007/3/01
山西,,19,2007/3/01
陕西,,23,2007/3/01
上海,,2,2007/3/01
四川,,18,2007/3/01
天津,,3,2007/3/01
西藏,,4,2007/3/01
新疆,,2,2007/3/01
云南,,18,2007/3/01
安徽,,18,2007/5/01
北京,,2,2007/5/01
重庆,,15,2007/5/01
福建,,20,2007/5/01
甘肃,,11,2007/5/01
广东,,27,2007/5/01
广西,,16,2007/5/01
贵州,,33,2007/5/01
海南,,4,2007/5/01
河北,,15,2007/5/01
河南,,11,2007/5/01
黑龙江,,18,2007/5/01
湖北,,12,2007/5/01
湖南,,25,2007/5/01
吉林,,10,2007/5/01
江苏,,16,2007/5/01
江西,,9,2007/5/01
内蒙古,,16,2007/5/01
辽宁,,13,2007/5/01
宁夏,,7,2007/5/01
青海,,3,2007/5/01
山东,,14,2007/5/01
山西,,8,2007/5/01
陕西,,10,2007/5/01
上海,,4,2007/5/01
四川,,37,2007/5/01
天津,,2,2007/5/01
西藏,,1,2007/5/01
新疆,,8,2007/5/01
云南,,30,2007/5/01
安徽,,32,2007/7/01
北京,,3,2007/7/01
重庆,,14,2007/7/01
福建,,17,2007/7/01
甘肃,,24,2007/7/01
广东,,39,2007/7/01
广西,,17,2007/7/01
贵州,,35,2007/7/01
海南,,10,2007/7/01
河北,,8,2007/7/01
河南,,17,2007/7/01
黑龙江,,28,2007/7/01
湖北,,15,2007/7/01
湖南,,24,2007/7/01
吉林,,12,2007/7/01
江苏,,17,2007/7/01
江西,,13,2007/7/01
辽宁,,14,2007/7/01
内蒙古,,15,2007/7/01
宁夏,,3,2007/7/01
青海,,2,2007/7/01
山东,,13,2007/7/01
山西,,8,2007/7/01
陕西,,9,2007/7/01
上海,,4,2007/7/01
四川,,35,2007/7/01
天津,,1,2007/7/01
西藏,,3,2007/7/01
新疆,,10,2007/7/01
云南,,22,2007/7/01
安徽,,16,2007/9/01
北京,,3,2007/9/01
重庆,,8,2007/9/01
福建,,16,2007/9/01
甘肃,,25,2007/9/01
广东,,28,2007/9/01
广西,,15,2007/9/01
贵州,,28,2007/9/01
海南,,2,2007/9/01
河北,,5,2007/9/01
河南,,11,2007/9/01
黑龙江,,5,2007/9/01
湖北,,10,2007/9/01
湖南,,13,2007/9/01
吉林,,9,2007/9/01
江苏,,20,2007/9/01
江西,,9,2007/9/01
辽宁,,10,2007/9/01
内蒙,,7,2007/9/01
宁夏,,8,2007/9/01
青海,,1,2007/9/01
山东,,7,2007/9/01
山西,,10,2007/9/01
陕西,,11,2007/9/01
上海,,4,2007/9/01
四川,,24,2007/9/01
天津,,2,2007/9/01
西藏,,2,2007/9/01
新疆,,10,2007/9/01
云南,,21,2007/9/01
安徽,,11,2008/1/01
北京,,1,2008/1/01
重庆,,10,2008/1/01
福建,,13,2008/1/01
甘肃,,6,2008/1/01
广东,,25,2008/1/01
广西,,20,2008/1/01
贵州,,17,2008/1/01
海南,,1,2008/1/01
河北,,6,2008/1/01
河南,,3,2008/1/01
黑龙江,,9,2008/1/01
湖北,,13,2008/1/01
湖南,,11,2008/1/01
吉林,,0,2008/1/01
江苏,,5,2008/1/01
江西,,7,2008/1/01
辽宁,,3,2008/1/01
内蒙古,,4,2008/1/01
宁夏,,3,2008/1/01
青海,,1,2008/1/01
山东,,6,2008/1/01
山西,,9,2008/1/01
陕西,,9,2008/1/01
上海,,6,2008/1/01
四川,,22,2008/1/01
天津,,2,2008/1/01
西藏,,3,2008/1/01
新疆,,2,2008/1/01
云南,,25,2008/1/01
安徽,,19,2008/11/01
北京,,1,2008/11/01
重庆,,13,2008/11/01
福建,,11,2008/11/01
甘肃,,6,2008/11/01
广东,,11,2008/11/01
广西,,20,2008/11/01
贵州,,19,2008/11/01
海南,,1,2008/11/01
河北,,8,2008/11/01
河南,,7,2008/11/01
黑龙江,,9,2008/11/01
湖北,,8,2008/11/01
湖南,,13,2008/11/01
吉林,,0,2008/11/01
江苏,,11,2008/11/01
江西,,5,2008/11/01
辽宁,,6,2008/11/01
内蒙古,,6,2008/11/01
宁夏,,1,2008/11/01
青海,,2,2008/11/01
山东,,8,2008/11/01
山西,,13,2008/11/01
陕西,,8,2008/11/01
上海,,7,2008/11/01
四川,,20,2008/11/01
天津,,1,2008/11/01
西藏,,2,2008/11/01
新疆,,5,2008/11/01
云南,,15,2008/11/01
安徽,,13,2008/3/01
北京,,7,2008/3/01
重庆,,10,2008/3/01
福建,,12,2008/3/01
甘肃,,3,2008/3/01
广东,,22,2008/3/01
广西,,11,2008/3/01
贵州,,17,2008/3/01
海南,,1,2008/3/01
河北,,11,2008/3/01
河南,,10,2008/3/01
黑龙江,,10,2008/3/01
湖北,,17,2008/3/01
湖南,,12,2008/3/01
吉林,,3,2008/3/01
江苏,,16,2008/3/01
江西,,6,2008/3/01
辽宁,,9,2008/3/01
内蒙古,,5,2008/3/01
宁夏,,1,2008/3/01
青海,,1,2008/3/01
山东,,13,2008/3/01
山西,,14,2008/3/01
陕西,,12,2008/3/01
上海,,1,2008/3/01
四川,,19,2008/3/01
天津,,1,2008/3/01
西藏,,0,2008/3/01
新疆,,9,2008/3/01
云南,,19,2008/3/01
安徽,,23,2008/5/01
北京,,7,2008/5/01
重庆,,15,2008/5/01
福建,,18,2008/5/01
甘肃,,10,2008/5/01
广东,,23,2008/5/01
广西,,15,2008/5/01
贵州,,20,2008/5/01
海南,,3,2008/5/01
河北,,8,2008/5/01
河南,,12,2008/5/01
黑龙江,,13,2008/5/01
湖北,,15,2008/5/01
湖南,,16,2008/5/01
吉林,,4,2008/5/01
江苏,,14,2008/5/01
江西,,3,2008/5/01
辽宁,,6,2008/5/01
内蒙古,,13,2008/5/01
宁夏,,0,2008/5/01
青海,,1,2008/5/01
山东,,5,2008/5/01
山西,,10,2008/5/01
陕西,,17,2008/5/01
上海,,11,2008/5/01
四川,,17,2008/5/01
天津,,2,2008/5/01
西藏,,1,2008/5/01
新疆,,6,2008/5/01
云南,,23,2008/5/01
安徽,,12,2008/7/01
北京,,3,2008/7/01
重庆,,7,2008/7/01
福建,,11,2008/7/01
甘肃,,7,2008/7/01
广东,,8,2008/7/01
广西,,31,2008/7/01
贵州,,18,2008/7/01
海南,,0,2008/7/01
河北,,4,2008/7/01
河南,,6,2008/7/01
黑龙江,,8,2008/7/01
湖北,,15,2008/7/01
湖南,,6,2008/7/01
吉林,,1,2008/7/01
江苏,,5,2008/7/01
江西,,5,2008/7/01
辽宁,,4,2008/7/01
内蒙古,,4,2008/7/01
宁夏,,1,2008/7/01
青海,,4,2008/7/01
山东,,7,2008/7/01
山西,,13,2008/7/01
陕西,,13,2008/7/01
上海,,2,2008/7/01
四川,,24,2008/7/01
天津,,1,2008/7/01
西藏,,2,2008/7/01
