name,type,value,date
湖南,,278,2006-03-01
湖南,,287,2006-05-01
湖南,,300,2006-07-01
湖南,,318,2006-09-01
湖南,,332,2006-11-01
湖南,,351,2007-01-01
湖南,,370,2007-03-01
湖南,,395,2007-05-01
湖南,,419,2007-07-01
湖南,,432,2007-09-01
湖南,,440,2007-11-01
湖南,,451,2008-01-01
湖南,,463,2008-03-01
湖南,,479,2008-05-01
湖南,,485,2008-07-01
湖南,,489,2008-09-01
湖南,,502,2008-11-01
湖南,,508,2009-01-01
湖南,,523,2009-03-01
湖南,,539,2009-05-01
湖南,,557,2009-07-01
湖南,,569,2009-09-01
湖南,,579,2009-11-01
湖南,,592,2010-01-01
湖南,,610,2010-03-01
湖南,,632,2010-05-01
湖南,,647,2010-07-01
湖南,,662,2010-09-01
湖南,,679,2010-11-01
湖南,,692,2011-01-01
湖南,,701,2011-03-01
湖南,,718,2011-05-01
湖南,,726,2011-07-01
湖南,,737,2011-09-01
湖南,,750,2011-11-01
湖南,,761,2012-01-01
湖南,,770,2012-03-01
湖南,,782,2012-05-01
湖南,,791,2012-07-01
湖南,,802,2012-09-01
湖南,,812,2012-11-01
湖南,,826,2013-01-01
湖南,,836,2013-03-01
湖南,,838,2013-05-01
湖南,,844,2013-07-01
湖南,,853,2013-09-01
湖南,,862,2013-11-01
湖南,,867,2014-01-01
湖南,,877,2014-03-01
湖南,,883,2014-05-01
湖南,,894,2014-07-01
湖南,,899,2014-09-01
湖南,,903,2014-11-01
湖南,,913,2015-01-01
湖南,,919,2015-03-01
湖南,,927,2015-05-01
湖南,,934,2015-07-01
湖南,,937,2015-09-01
湖南,,937,2015-11-01
湖南,,939,2016-01-01
湖南,,940,2016-03-01
湖南,,944,2016-05-01
湖南,,949,2016-07-01
湖南,,951,2016-09-01
湖南,,959,2016-11-01
湖南,,969,2017-01-01
湖南,,978,2017-03-01
湖南,,985,2017-05-01
湖南,,989,2017-07-01
湖南,,998,2017-09-01
湖南,,1002,2017-11-01
湖南,,1008,2018-01-01
湖南,,1009,2018-03-01
湖南,,1012,2018-05-01
湖南,,1016,2018-07-01
湖南,,1023,2018-09-01
湖南,,1027,2018-11-01
云南,,27,2005-01-01
